CustomerType,orderDate,grossSales,numberOfOrders
New Customer Order,2012-08-12,5088.218391,26
New Customer Order,2012-08-13,520.4980843,4
New Customer Order,2012-08-14,1780.45977,12
New Customer Order,2012-08-15,747.7011494,5
New Customer Order,2012-08-16,638.0268199,6
New Customer Order,2012-08-17,395.0191571,6
New Customer Order,2012-08-18,361.2068966,4
New Customer Order,2012-08-19,1880.651341,14
New Customer Order,2012-08-20,661.1111111,6
New Customer Order,2012-08-21,788.8888889,6
New Customer Order,2012-08-22,768.4961686,7
New Customer Order,2012-08-23,1177.586207,8
New Customer Order,2012-08-24,315.6130268,3
New Customer Order,2012-08-25,996.2260536,8
New Customer Order,2012-08-26,77.29885057,1
New Customer Order,2012-08-27,1150.957854,8
New Customer Order,2012-08-28,1023.94636,6
New Customer Order,2012-08-29,1540.613027,16
New Customer Order,2012-08-30,447.7011494,5
New Customer Order,2012-08-31,1975.287356,9
New Customer Order,2012-09-01,620.7854406,5
New Customer Order,2012-09-02,561.6858238,6
New Customer Order,2012-09-03,188.4099617,2
New Customer Order,2012-09-04,1525.478927,13
New Customer Order,2012-09-05,2287.164751,7
New Customer Order,2012-09-06,2552.10728,13
New Customer Order,2012-09-07,1388.473088,8
New Customer Order,2012-09-08,971.686747,5
New Customer Order,2012-09-09,3399.116466,12
New Customer Order,2012-09-10,1481.124498,8
New Customer Order,2012-09-11,1126.305221,6
New Customer Order,2012-09-12,902.811245,7
New Customer Order,2012-09-13,519.4779116,4
New Customer Order,2012-09-14,2696.184739,11
New Customer Order,2012-09-15,2219.106426,10
New Customer Order,2012-09-16,1251.807229,8
New Customer Order,2012-09-17,88.25301205,1
New Customer Order,2012-09-18,1586.84739,9
New Customer Order,2012-09-19,1513.554217,10
New Customer Order,2012-09-20,3301.305221,15
New Customer Order,2012-09-21,1027.911647,7
New Customer Order,2012-09-22,1090.261044,7
New Customer Order,2012-09-23,1578.514056,9
New Customer Order,2012-09-24,985.3614458,3
New Customer Order,2012-09-25,3052.811245,6
New Customer Order,2012-09-26,757.9518072,6
New Customer Order,2012-09-27,1469.678715,9
New Customer Order,2012-09-28,2973.393574,8
New Customer Order,2012-09-29,452.2088353,4
New Customer Order,2012-09-30,3669.779116,16
New Customer Order,2012-10-01,1523.795181,8
New Customer Order,2012-10-02,3249.899598,15
New Customer Order,2012-10-03,1169.477912,8
New Customer Order,2012-10-04,2751.506024,17
New Customer Order,2012-10-05,1314.056225,6
New Customer Order,2012-10-06,717.1686747,5
New Customer Order,2012-10-07,3186.24498,11
New Customer Order,2012-10-08,1419.37751,8
New Customer Order,2012-10-09,2082.228916,12
New Customer Order,2012-10-10,5392.871486,15
New Customer Order,2012-10-11,2936.746988,16
New Customer Order,2012-10-12,409.3373494,3
New Customer Order,2012-10-13,3221.556225,13
New Customer Order,2012-10-14,1922.991968,8
New Customer Order,2012-10-15,1851.305221,9
New Customer Order,2012-10-16,1278.915663,6
New Customer Order,2012-10-17,3932.028112,16
New Customer Order,2012-10-18,1537.851406,9
New Customer Order,2012-10-19,3697.088353,12
New Customer Order,2012-10-20,300.9036145,2
New Customer Order,2012-10-21,1802.610442,15
New Customer Order,2012-10-22,1316.064257,11
New Customer Order,2012-10-23,1875.60241,12
New Customer Order,2012-10-24,1179.618474,7
New Customer Order,2012-10-25,2032.228916,14
New Customer Order,2012-10-26,1850.60241,7
New Customer Order,2012-10-27,830.62249,5
New Customer Order,2012-10-28,4826.606426,17
New Customer Order,2012-10-29,1085.240964,7
New Customer Order,2012-10-30,2520.582329,8
New Customer Order,2012-10-31,1566.686747,5
New Customer Order,2012-11-01,1479.317269,8
New Customer Order,2012-11-02,976.0040161,6
New Customer Order,2012-11-03,1032.128514,6
New Customer Order,2012-11-04,2996.987952,16
New Customer Order,2012-11-05,1295.983936,8
New Customer Order,2012-11-06,2411.947791,9
New Customer Order,2012-11-07,266.6666667,3
New Customer Order,2012-11-08,1436.746988,11
New Customer Order,2012-11-09,587.751004,4
New Customer Order,2012-11-10,1056.325301,6
New Customer Order,2012-11-11,1146.787149,8
New Customer Order,2012-11-12,58.13253012,1
New Customer Order,2012-11-13,2384.236948,9
New Customer Order,2012-11-14,2312.951807,11
New Customer Order,2012-11-15,1239.759036,8
New Customer Order,2012-11-16,1283.835341,7
New Customer Order,2012-11-17,941.8674699,5
New Customer Order,2012-11-18,942.8714859,7
New Customer Order,2012-11-19,1165.461847,8
New Customer Order,2012-11-20,2135.441767,15
New Customer Order,2012-11-21,2013.15261,10
New Customer Order,2012-11-22,2128.514056,16
New Customer Order,2012-11-23,1510.441767,6
New Customer Order,2012-11-24,1217.771084,4
New Customer Order,2012-11-25,3203.514056,16
New Customer Order,2012-11-26,141.3654618,2
New Customer Order,2012-11-27,1521.586345,6
New Customer Order,2012-11-28,1353.11245,10
New Customer Order,2012-11-29,2320.783133,16
New Customer Order,2012-11-30,2083.333333,8
New Customer Order,2012-12-01,1077.409639,3
New Customer Order,2012-12-02,2068.172691,12
New Customer Order,2012-12-03,1258.73494,8
New Customer Order,2012-12-04,2462.951807,10
New Customer Order,2012-12-05,130.3212851,2
New Customer Order,2012-12-06,1657.048193,11
New Customer Order,2012-12-07,782.4297189,5
New Customer Order,2012-12-08,1759.538153,9
New Customer Order,2012-12-09,2715.863454,13
New Customer Order,2012-12-10,1399.39759,6
New Customer Order,2012-12-11,1723.192771,9
New Customer Order,2012-12-12,1138.222892,7
New Customer Order,2012-12-13,1623.072289,9
New Customer Order,2012-12-14,3220.080321,12
New Customer Order,2012-12-15,2313.624498,14
New Customer Order,2012-12-16,685.9437751,5
New Customer Order,2012-12-17,1487.771084,10
New Customer Order,2012-12-18,2670.381526,16
New Customer Order,2012-12-19,2044.477912,18
New Customer Order,2012-12-20,1103.212851,10
New Customer Order,2012-12-21,1791.566265,4
New Customer Order,2012-12-22,1286.144578,3
New Customer Order,2012-12-23,1080.321285,7
